Iteration,Time,Fitness,Best Iteration,Best Fitness
1903,20560.000000,1.000000,459,1.000000
1910,20560.000000,1.000000,459,1.000000
1917,20560.000000,1.000000,459,1.000000
1926,20560.000000,1.000000,459,1.000000
1934,20560.000000,1.000000,459,1.000000
1941,20560.000000,1.000000,459,1.000000
1947,20560.000000,1.000000,459,1.000000
1955,20560.000000,1.000000,459,1.000000
1962,20560.000000,1.000000,459,1.000000
1969,20560.000000,1.000000,459,1.000000
1978,20560.000000,1.000000,459,1.000000
1986,20560.000000,1.000000,459,1.000000
1994,20560.000000,1.000000,459,1.000000
2002,20560.000000,1.000000,459,1.000000
2011,20560.000000,1.000000,459,1.000000
2017,20560.000000,1.000000,459,1.000000
2025,20560.000000,1.000000,459,1.000000
2033,20560.000000,1.000000,459,1.000000
2041,20560.000000,1.000000,459,1.000000
2048,20560.000000,1.000000,459,1.000000
2055,20560.000000,1.000000,459,1.000000
2063,20560.000000,1.000000,459,1.000000
2070,20560.000000,1.000000,459,1.000000
2078,20560.000000,1.000000,459,1.000000
2095,20560.000000,1.000000,459,1.000000
2104,20560.000000,1.000000,459,1.000000
2112,20560.000000,1.000000,459,1.000000
2120,20560.000000,1.000000,459,1.000000
2128,20560.000000,1.000000,459,1.000000
2136,20560.000000,1.000000,459,1.000000
2143,20560.000000,1.000000,459,1.000000
2151,20560.000000,1.000000,459,1.000000
2160,20560.000000,1.000000,459,1.000000
2174,20560.000000,1.000000,459,1.000000
2180,20560.000000,1.000000,459,1.000000
2188,20560.000000,1.000000,459,1.000000
2196,20560.000000,1.000000,459,1.000000
2203,20560.000000,1.000000,459,1.000000
2211,20560.000000,1.000000,459,1.000000
2219,20560.000000,1.000000,459,1.000000
2229,20560.000000,1.000000,459,1.000000
2237,20560.000000,1.000000,459,1.000000
2244,20560.000000,1.000000,459,1.000000
2256,20560.000000,2.000000,2253,2.000000
2264,20560.000000,2.000000,2253,2.000000
2278,20560.000000,4.000000,2272,4.000000
2286,20560.000000,4.000000,2272,4.000000
2293,20560.000000,4.000000,2272,4.000000
2303,20560.000000,4.000000,2272,4.000000
2312,20560.000000,4.000000,2272,4.000000
2319,20560.000000,4.000000,2272,4.000000
2329,20560.000000,4.000000,2272,4.000000
2338,20560.000000,4.000000,2272,4.000000
2346,20560.000000,4.000000,2272,4.000000
2355,20560.000000,4.000000,2272,4.000000
2363,20560.000000,4.000000,2272,4.000000
2371,20560.000000,4.000000,2272,4.000000
2378,20560.000000,4.000000,2272,4.000000
2387,20560.000000,4.000000,2272,4.000000
2394,20560.000000,4.000000,2272,4.000000
2402,20560.000000,4.000000,2272,4.000000
2409,20560.000000,4.000000,2272,4.000000
2418,20560.000000,4.000000,2272,4.000000
2426,20560.000000,4.000000,2272,4.000000
2434,20560.000000,4.000000,2272,4.000000
2442,20560.000000,4.000000,2272,4.000000
2451,20560.000000,4.000000,2272,4.000000
2460,20560.000000,4.000000,2272,4.000000
2469,20560.000000,4.000000,2272,4.000000
2483,20560.000000,4.000000,2272,4.000000
2489,20560.000000,4.000000,2272,4.000000
2498,20560.000000,4.000000,2272,4.000000
2506,20560.000000,4.000000,2272,4.000000
2515,20560.000000,4.000000,2272,4.000000
2524,20560.000000,4.000000,2272,4.000000
2532,20560.000000,4.000000,2272,4.000000
2545,20560.000000,4.000000,2272,4.000000
2555,20560.000000,4.000000,2272,4.000000
2563,20560.000000,4.000000,2272,4.000000
2570,20560.000000,4.000000,2272,4.000000
2579,20560.000000,4.000000,2272,4.000000
2588,20560.000000,4.000000,2272,4.000000
2597,20560.000000,4.000000,2272,4.000000
2606,20560.000000,4.000000,2272,4.000000
2614,20560.000000,4.000000,2272,4.000000
2621,20560.000000,4.000000,2272,4.000000
2629,20560.000000,4.000000,2272,4.000000
2636,20560.000000,4.000000,2272,4.000000
2644,20560.000000,4.000000,2272,4.000000
2652,20560.000000,4.000000,2272,4.000000
2660,20560.000000,4.000000,2272,4.000000
2670,20560.000000,4.000000,2272,4.000000
2677,20560.000000,4.000000,2272,4.000000
2684,20560.000000,4.000000,2272,4.000000
2691,20560.000000,4.000000,2272,4.000000
2699,20560.000000,4.000000,2272,4.000000
2706,20560.000000,4.000000,2272,4.000000
2715,20560.000000,4.000000,2272,4.000000
2723,20560.000000,4.000000,2272,4.000000
2731,20560.000000,4.000000,2272,4.000000
2738,20560.000000,4.000000,2272,4.000000
2745,20560.000000,4.000000,2272,4.000000
2754,20560.000000,4.000000,2272,4.000000
2763,20560.000000,4.000000,2272,4.000000
2770,20560.000000,4.000000,2272,4.000000
2778,20560.000000,4.000000,2272,4.000000
2786,20560.000000,4.000000,2272,4.000000
2796,20560.000000,4.000000,2272,4.000000
2804,20560.000000,4.000000,2272,4.000000
2812,20560.000000,4.000000,2272,4.000000
2820,20560.000000,4.000000,2272,4.000000
2826,20560.000000,4.000000,2272,4.000000
2834,20560.000000,4.000000,2272,4.000000
2842,20560.000000,4.000000,2272,4.000000
2850,20560.000000,4.000000,2272,4.000000
2858,20560.000000,4.000000,2272,4.000000
2867,20560.000000,4.000000,2272,4.000000
2874,20560.000000,4.000000,2272,4.000000
2884,20560.000000,4.000000,2272,4.000000
2891,20560.000000,4.000000,2272,4.000000
2898,20560.000000,4.000000,2272,4.000000
2906,20560.000000,4.000000,2272,4.000000
2914,20560.000000,4.000000,2272,4.000000
2923,20560.000000,4.000000,2272,4.000000
2930,20560.000000,4.000000,2272,4.000000
2936,20560.000000,4.000000,2272,4.000000
2944,20560.000000,4.000000,2272,4.000000
2952,20560.000000,4.000000,2272,4.000000
2970,20560.000000,4.000000,2272,4.000000
2977,20560.000000,4.000000,2272,4.000000
2984,20560.000000,4.000000,2272,4.000000
2993,20560.000000,4.000000,2272,4.000000
3002,20560.000000,4.000000,2272,4.000000
3010,20560.000000,4.000000,2272,4.000000
3018,20560.000000,4.000000,2272,4.000000
3034,20560.000000,4.000000,2272,4.000000
3042,20560.000000,4.000000,2272,4.000000
3050,20560.000000,4.000000,2272,4.000000
3059,20560.000000,4.000000,2272,4.000000
3067,20560.000000,4.000000,2272,4.000000
3075,20560.000000,4.000000,2272,4.000000
3082,20560.000000,4.000000,2272,4.000000
3090,20560.000000,4.000000,2272,4.000000
3098,20560.000000,4.000000,2272,4.000000
3106,20560.000000,4.000000,2272,4.000000
3114,20560.000000,4.000000,2272,4.000000
3122,20560.000000,4.000000,2272,4.000000
3130,20560.000000,4.000000,2272,4.000000
3138,20560.000000,4.000000,2272,4.000000
3145,20560.000000,4.000000,2272,4.000000
3154,20560.000000,4.000000,2272,4.000000
3161,20560.000000,4.000000,2272,4.000000
3168,20560.000000,4.000000,2272,4.000000
3177,20560.000000,4.000000,2272,4.000000
3186,20560.000000,4.000000,2272,4.000000
3192,20560.000000,4.000000,2272,4.000000
3200,20560.000000,4.000000,2272,4.000000
3208,20560.000000,4.000000,2272,4.000000
3216,20560.000000,4.000000,2272,4.000000
3224,20560.000000,4.000000,2272,4.000000
3231,20560.000000,4.000000,2272,4.000000
3238,20560.000000,4.000000,2272,4.000000
3246,20560.000000,4.000000,2272,4.000000
3253,20560.000000,4.000000,2272,4.000000
3260,20560.000000,4.000000,2272,4.000000
3268,20560.000000,4.000000,2272,4.000000
3276,20560.000000,4.000000,2272,4.000000
3283,20560.000000,4.000000,2272,4.000000
3292,20560.000000,4.000000,2272,4.000000
3302,20560.000000,4.000000,2272,4.000000
3314,20560.000000,4.000000,2272,4.000000
3322,20560.000000,4.000000,2272,4.000000
3330,20560.000000,4.000000,2272,4.000000
3336,20560.000000,4.000000,2272,4.000000
3342,20560.000000,4.000000,2272,4.000000
3349,20560.000000,4.000000,2272,4.000000
3362,20560.000000,4.000000,2272,4.000000
3371,20560.000000,4.000000,2272,4.000000
3378,20560.000000,4.000000,2272,4.000000
3387,20560.000000,4.000000,2272,4.000000
3394,20560.000000,4.000000,2272,4.000000
3401,20560.000000,4.000000,2272,4.000000
3408,20560.000000,4.000000,2272,4.000000
3417,20560.000000,4.000000,2272,4.000000
3424,20560.000000,4.000000,2272,4.000000
3432,20560.000000,4.000000,2272,4.000000
3439,20560.000000,4.000000,2272,4.000000
3447,20560.000000,4.000000,2272,4.000000
3456,20560.000000,4.000000,2272,4.000000
3463,20560.000000,4.000000,2272,4.000000
3470,20560.000000,4.000000,2272,4.000000
3478,20560.000000,4.000000,2272,4.000000
3487,20560.000000,4.000000,2272,4.000000
3494,20560.000000,4.000000,2272,4.000000
3502,20560.000000,4.000000,2272,4.000000
3509,20560.000000,4.000000,2272,4.000000
3515,20560.000000,4.000000,2272,4.000000
3524,20560.000000,4.000000,2272,4.000000
3532,20560.000000,4.000000,2272,4.000000
3539,20560.000000,4.000000,2272,4.000000
3547,20560.000000,4.000000,2272,4.000000
3556,20560.000000,4.000000,2272,4.000000
3563,20560.000000,4.000000,2272,4.000000
3570,20560.000000,4.000000,2272,4.000000
3577,20560.000000,4.000000,2272,4.000000
3585,20560.000000,4.000000,2272,4.000000
3591,20560.000000,4.000000,2272,4.000000
3598,20560.000000,4.000000,2272,4.000000
3606,20560.000000,4.000000,2272,4.000000
3615,20560.000000,4.000000,2272,4.000000
3623,20560.000000,4.000000,2272,4.000000
3630,20560.000000,4.000000,2272,4.000000
3640,20560.000000,4.000000,2272,4.000000
3647,20560.000000,4.000000,2272,4.000000
3654,20560.000000,4.000000,2272,4.000000
3661,20560.000000,4.000000,2272,4.000000
3668,20560.000000,4.000000,2272,4.000000
3677,20560.000000,4.000000,2272,4.000000
3685,20560.000000,4.000000,2272,4.000000
3693,20560.000000,4.000000,2272,4.000000
3701,20560.000000,4.000000,2272,4.000000
3708,20560.000000,4.000000,2272,4.000000
3717,20560.000000,4.000000,2272,4.000000
3731,20560.000000,4.000000,2272,4.000000
3740,20560.000000,4.000000,2272,4.000000
3748,20560.000000,4.000000,2272,4.000000
3755,20560.000000,4.000000,2272,4.000000
3769,20560.000000,4.000000,2272,4.000000
3777,20560.000000,4.000000,2272,4.000000
3786,20560.000000,4.000000,2272,4.000000
3793,20560.000000,4.000000,2272,4.000000
3800,20560.000000,4.000000,2272,4.000000
3808,20560.000000,4.000000,2272,4.000000
3815,20560.000000,4.000000,2272,4.000000
3822,20560.000000,4.000000,2272,4.000000
3830,20560.000000,4.000000,2272,4.000000
3837,20560.000000,4.000000,2272,4.000000
3845,20560.000000,4.000000,2272,4.000000
3853,20560.000000,4.000000,2272,4.000000
3861,20560.000000,4.000000,2272,4.000000
3870,20560.000000,4.000000,2272,4.000000
3876,20560.000000,4.000000,2272,4.000000
