Batch Index;Problem;Algorithm;Fitness;Best Iteration;Runtime (ms)
90;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;927456;15093
91;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;913493;14883
92;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;797926;12991
93;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;873655;14225
94;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;945976;15421
95;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;909998;14842
96;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;915779;14927
97;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;946822;15417
98;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;891596;14522
99;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;879917;14327
Average; ; ;1000.000000;857740;13974
