Iteration;Time;Fitness;Best Iteration;Best Fitness
65;3.000000;77.000000;59;77.000000
66;3.000000;78.000000;66;78.000000
67;3.000000;78.000000;66;78.000000
68;3.000000;78.000000;66;78.000000
69;3.000000;78.000000;66;78.000000
70;3.000000;78.000000;66;78.000000
71;3.000000;78.000000;66;78.000000
72;3.000000;78.000000;66;78.000000
73;3.000000;78.000000;66;78.000000
74;3.000000;78.000000;66;78.000000
75;3.000000;79.000000;75;79.000000
76;3.000000;79.000000;75;79.000000
77;3.000000;80.000000;77;80.000000
78;3.000000;81.000000;78;81.000000
79;3.000000;81.000000;78;81.000000
80;3.000000;81.000000;78;81.000000
81;3.000000;81.000000;78;81.000000
82;3.000000;81.000000;78;81.000000
83;3.000000;81.000000;78;81.000000
84;3.000000;81.000000;78;81.000000
85;3.000000;81.000000;78;81.000000
86;3.000000;81.000000;78;81.000000
87;3.000000;82.000000;87;82.000000
88;3.000000;82.000000;87;82.000000
89;3.000000;82.000000;87;82.000000
90;3.000000;82.000000;87;82.000000
91;3.000000;82.000000;87;82.000000
92;3.000000;82.000000;87;82.000000
93;3.000000;82.000000;87;82.000000
94;3.000000;82.000000;87;82.000000
95;3.000000;82.000000;87;82.000000
96;3.000000;82.000000;87;82.000000
97;3.000000;82.000000;87;82.000000
98;3.000000;82.000000;87;82.000000
99;3.000000;83.000000;99;83.000000
100;3.000000;83.000000;99;83.000000
101;3.000000;83.000000;99;83.000000
102;3.000000;83.000000;99;83.000000
103;3.000000;83.000000;99;83.000000
104;3.000000;84.000000;104;84.000000
105;3.000000;84.000000;104;84.000000
106;3.000000;85.000000;106;85.000000
107;3.000000;85.000000;106;85.000000
108;3.000000;85.000000;106;85.000000
109;3.000000;85.000000;106;85.000000
110;3.000000;85.000000;106;85.000000
111;3.000000;85.000000;106;85.000000
112;3.000000;85.000000;106;85.000000
113;3.000000;85.000000;106;85.000000
114;3.000000;85.000000;106;85.000000
115;3.000000;85.000000;106;85.000000
116;3.000000;85.000000;106;85.000000
117;3.000000;85.000000;106;85.000000
118;3.000000;85.000000;106;85.000000
119;3.000000;85.000000;106;85.000000
120;3.000000;85.000000;106;85.000000
121;3.000000;85.000000;106;85.000000
122;3.000000;85.000000;106;85.000000
123;3.000000;85.000000;106;85.000000
124;3.000000;85.000000;106;85.000000
125;3.000000;85.000000;106;85.000000
126;3.000000;85.000000;106;85.000000
127;3.000000;85.000000;106;85.000000
128;3.000000;85.000000;106;85.000000
129;3.000000;85.000000;106;85.000000
130;3.000000;85.000000;106;85.000000
131;3.000000;85.000000;106;85.000000
132;3.000000;85.000000;106;85.000000
133;3.000000;85.000000;106;85.000000
134;3.000000;85.000000;106;85.000000
135;3.000000;86.000000;135;86.000000
136;3.000000;86.000000;135;86.000000
137;3.000000;86.000000;135;86.000000
138;3.000000;86.000000;135;86.000000
139;3.000000;87.000000;139;87.000000
140;3.000000;87.000000;139;87.000000
141;3.000000;88.000000;141;88.000000
142;3.000000;88.000000;141;88.000000
143;3.000000;89.000000;143;89.000000
144;3.000000;89.000000;143;89.000000
145;3.000000;89.000000;143;89.000000
146;3.000000;89.000000;143;89.000000
147;3.000000;89.000000;143;89.000000
148;3.000000;89.000000;143;89.000000
149;3.000000;89.000000;143;89.000000
150;3.000000;89.000000;143;89.000000
151;3.000000;89.000000;143;89.000000
152;3.000000;89.000000;143;89.000000
153;3.000000;89.000000;143;89.000000
154;3.000000;90.000000;154;90.000000
155;3.000000;90.000000;154;90.000000
156;3.000000;90.000000;154;90.000000
157;3.000000;90.000000;154;90.000000
158;3.000000;90.000000;154;90.000000
159;3.000000;90.000000;154;90.000000
160;3.000000;90.000000;154;90.000000
161;3.000000;90.000000;154;90.000000
162;3.000000;90.000000;154;90.000000
163;3.000000;90.000000;154;90.000000
164;3.000000;90.000000;154;90.000000
165;3.000000;90.000000;154;90.000000
166;3.000000;90.000000;154;90.000000
